"Ref INS","INE","Municipi","Comarca","Instal·lació","Ubicació UTMX","Ubicació UTMY","Latitud","Longitud","Tipus propietat","Tipus gestió","Titularitat","URL CEEC","CAM","ATL","PAL","PCO","POL","PAV","TEN","PAD","SAL","ESQ","FRO","PET","CON","HIP","GOL","CIR","ROC","SIN","URB","NAT","BIC","ITI","VES","GRA","MAG","SER","AER","POR","REF","COM","Georeferència"
"2521730046","252173","Tàrrega","Urgell","CLUB DE BITLLES TÀRREGA","344848","4612660","41,65059286","1,136779458","Privat esportiu","Privat esportiu","Privada esportiva","https://equipaments.esport.gencat.cat/ceeree/equipaments/25883","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.136779458 41.65059286)"
"0818030049","081803","Ripollet","Vallès Occidental","CARRIL BICI CAMÍ SERRA","430303","4594674","41,50065957","2,164928262","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/29546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","POINT (2.164928262 41.50065957)"
"1716090015","171609","Sant Feliu de Guíxols","Baix Empordà","PISTA DE BÀSQUET PISOS VERDS","502353","4626630","41,79152248","3,028319579","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/23774","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (3.028319579 41.79152248)"
"4303110001","430311","Borges del Camp, les","Baix Camp","POLIESPORTIU EL GARRIGÓ","334198","4560100","41,17529433","1,023356259","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/20533","0","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","3","0","0","0","0","0","0","POINT (1.023356259 41.17529433)"
"4300220011","430022","Albinyana","Baix Penedès","PISTES DE PETANCA BONATERRA-PAPIOLA","376143","4567083","41,24567172","1,521811439","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/20259","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.521811439 41.24567172)"
"4308840004","430884","Montbrió del Camp","Baix Camp","ESCOLA JOSEP M. SOLER I GENÉ","332162","4554101","41,12086926","1,000739511","Ajuntament","Centre ensenyament infantil i primaria (CEIP)","Pública educativa","https://equipaments.esport.gencat.cat/ceeree/equipaments/20552","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","POINT (1.000739511 41.12086926)"
"0802140003","080214","Bellprat","Anoia","PISTA POLIESPORTIVA MUNICIPAL","369217","4597462","41,51812197","1,432624958","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/38765","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","POINT (1.432624958 41.51812197)"
"2509620003","250962","Fuliola, la","Urgell","PAVELLÓ POLIESPORTIU DE LA FULIOLA","335113","4619764","41,71258742","1,017974978","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/25816","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","POINT (1.017974978 41.71258742)"
"0819230013","081923","Santpedor","Bages","INSTITUT D'AURO","403650","4626130","41,78117166","1,840573172","Generalitat de Catalunya","Institut d'ensenyament secundari (IES)","Pública educativa","https://equipaments.esport.gencat.cat/ceeree/equipaments/24898","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","POINT (1.840573172 41.78117166)"
"0825200015","082520","Barberà del Vallès","Vallès Occidental","ESCOLA CAN LLOBET","426733","4596751","41,51904732","2,121906408","Ajuntament","Centre ensenyament infantil i primaria (CEIP)","Pública educativa","https://equipaments.esport.gencat.cat/ceeree/equipaments/28859","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","POINT (2.121906408 41.51904732)"
"0816140004","081614","Piera","Anoia","LOCAL SOCIAL DE CAN MATA","393861","4596057","41,50911543","1,728141809","Ajuntament","Altres privats","Pública indirecta","https://equipaments.esport.gencat.cat/ceeree/equipaments/17650","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","POINT (1.728141809 41.50911543)"
"1707920151","170792","Girona","Gironès","INSTITUT NARCÍS XIFRÀ I MASMITJÀ","485449","4650229","42,00394365","2,824289858","Generalitat de Catalunya","Institut d'ensenyament secundari (IES)","Pública educativa","https://equipaments.esport.gencat.cat/ceeree/equipaments/20910","1","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","POINT (2.824289858 42.00394365)"
"0830730074","083073","Vilanova i la Geltrú","Garraf","HOTEL ATENEA PARK SUITES APARTMENTS","392782","4563286","41,21385535","1,721007471","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.721007471 41.21385535)"
"0811890055","081189","Masnou, el","Maresme","COMUNITAT DEL C. SANT JORDI, 28","441981","4592394","41,48105481","2,30505636","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.30505636 41.48105481)"
"1714500017","171450","Ribes de Freser","Ripollès","COMUNITAT DE LA CTRA. DE PARDINES, 2","431952","4684703","42,31159257","2,1743014","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.1743014 42.31159257)"
"4301410048","430141","Amposta","Montsià","CLUB DE BITLLES AMPOSTA","295720","4509011","40,70669854","0,5818279731","Ajuntament","Associació o club esportiu","Pública indirecta","https://equipaments.esport.gencat.cat/ceeree/equipaments/30819","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","POINT (0.5818279731 40.70669854)"
"1703400100","170340","Calonge i Sant Antoni","Baix Empordà","COMUNITAT DEL C. DE FIGUERES, 2","505225","4633543","41,85377375","3,062946531","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (3.062946531 41.85377375)"
"4390180042","439018","Deltebre","Baix Ebre","COMUNITAT DE L'AVINGUDA JAUME I EL CONQUERIDOR 97","307389","4509668","40,71542283","0,7196510786","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (0.7196510786 40.71542283)"
"0829810145","082981","Vic","Osona","INDOORWALL VIC","438712","4643855","41,9442886","2,26061108","Altres privats","Privat esportiu","Privada esportiva","https://equipaments.esport.gencat.cat/ceeree/equipaments/38536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.26061108 41.9442886)"
"1711810023","171181","Palamós","Baix Empordà","CÀMPING KING'S","511865","4634532","41,86260984","3,14295949","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","POINT (3.14295949 41.86260984)"
